ward_code,Ward,Borough,Childhood_Obesity_Year6,Children_in_poverty,dependent_children_in_out_of_work_households,Public_Transport_Accessibility,Crime_rate,Unauthorised_Absence_in_All_Schools,Median_Household_income,Qualifications_Level4_and_above,Population_density,Households_with_access_to_openspace,Road_Casualties,People_activities_are_limited,People_with_Bad_or_Very_Bad_Health,Average_GCSE,Unemployed
E09000001,City of London,City of London,,14.83,12.22,7.68,16.32,0.59,63620,68.4,2312.5,97.61223906,404,4.4,3.4,54.093266,4.525341915
E05000026,Abbey,Barking and Dagenham,23.21,33.5,28.63,5.85,153.54,1.49,33920,34.5,9884.615385,70.7,50.67,5.1,4.3,32.3920511,14.48823804
E05000027,Alibon,Barking and Dagenham,25.56,35.5,34.44,3.26,115.38,1.38,32470,16.7,7464.285714,8.01,28,8.8,6.7,33.2669571,12.17173822
E05000028,Becontree,Barking and Dagenham,28.35,33.77,33.2,2.85,125.42,1.49,33000,20.6,8923.076923,39.17,26,8.8,7,33.8170161,13.81154343
E05000029,Chadwell Heath,Barking and Dagenham,28.78,34.5,30.47,2.26,119.87,1.68,33920,19.5,2970.588235,63.11,34.67,9.8,6.8,31.2499598,12.11849192
E05000030,Eastbrook,Barking and Dagenham,24.1,27.17,23.77,2.33,75.42,0.96,37400,18.5,3014.285714,56.68,27,8.6,5.9,39.5076716,10.9633289
E05000031,Eastbury,Barking and Dagenham,24.26,33.1,30.46,2.82,112.66,1.46,32870,20,8357.142857,77.43,44.67,8.2,6.4,39.7377121,12.66540643
E05000032,Gascoigne,Barking and Dagenham,26.13,38.47,33.28,3.84,135.41,1.44,29480,25.2,11409.09091,87.33,35,7.1,5.9,30.3606449,17.24845996
E05000033,Goresbrook,Barking and Dagenham,25.82,33.27,31.66,2.54,111.98,1.31,33250,18.8,8730.769231,59.03,19.67,9.2,6.3,32.1476463,12.27333461
E05000034,Heath,Barking and Dagenham,25.41,39.6,34.55,2.58,94.83,1.16,31340,17.6,5425,59.26,30.33,10.2,6.7,20.150057,14.33915212
E05000035,Longbridge,Barking and Dagenham,22.55,18.67,15.94,3.1,98.27,0.9,40570,25,7218.75,62.74,22,6.8,4.6,54.2633471,9.158912607
